음식점,카테고리,별점,리뷰 수,전화번호,주소,restaurant_id,category_id
BHC치킨 경산하양점,치킨,1.0,0.0077279752704791345,053-852-2098,경북 경산시 하양읍 하양로37길 19 코아루2차상가 1층,8,59
공차 경산하양점,카페,0.7,0.0015455950540958269,053-214-0090,경북 경산시 하양읍 하양로 35 하양3차우방타운 105동 123호,32,60
쏠크,카페,1.0,0.0030911901081916537,053-856-5977,경북 경산시 진량읍 봉황길 75,253,60
다무까,국수,0.6,0.0015455950540958269,053-854-6688,"경북 경산시 하양읍 은호길 10 1, 2층",67,8
진찜닭,닭요리,1.0,0.017001545595054096,053-854-2998,경북 경산시 진량읍 대학로 1056,363,14
용이반점,중식,0.8800000000000001,0.030911901081916538,053-856-2226,경북 경산시 하양읍 대경로 865,296,54
후라이드참잘하는집 하양점,치킨,1.0,0.012364760432766615,053-857-0426,경북 경산시 하양읍 대경로147길 14 1층 102호,472,59
다왕갈비탕 무학점,한식,0.8,0.02009273570324575,053-857-7288,경북 경산시 하양읍 서사도리7로 6,72,68
쥬쥬홈,"떡,한과",1.0,0.0061823802163833074,010-7465-1850,경북 경산시 하양읍 금송로 56 쥬쥬홈,353,20
우당탕반점,중국요리,0.6,0.010819165378670788,053-854-3884,경북 경산시 진량읍 대구대로 252-1,297,53
BBQ 경산무학점,치킨,1.0,0.0030911901081916537,053-856-3816,경북 경산시 하양읍 서사도리7로 21 SG타워 1층 113호,5,59
누리마을감자탕 하양점,한식,0.4,0.14992272024729522,053-854-2277,경북 경산시 하양읍 대경로 709,65,68
심가튀김족발,"족발,보쌈",1.0,0.00463678516228748,053-854-3989,경북 경산시 진량읍 봉황길 63 1층,248,52
바다축제,"해물,생선",1.0,0.0030911901081916537,,경북 경산시 하양읍 대경로 719,159,71
배스킨라빈스 경산진량점,아이스크림,1.0,0.010819165378670788,,경북 경산시 진량읍 다문로 67,167,37
오씨칼국수명가,칼국수,0.86,0.2550231839258114,053-856-3354,경북 경산시 진량읍 해든길1길 9-1,283,62
한우촌식육식당,"육류,고기",1.0,0.02936630602782071,053-856-3335,경북 경산시 하양읍 조산천서길 71,449,42
롯데리아 하양점,패스트푸드,0.6599999999999999,0.0030911901081916537,053-854-8500,경북 경산시 하양읍 하양로 126,118,65
미현양분식,분식,1.0,0.0015455950540958269,053-851-3461,경북 경산시 하양읍 하양로 119-11,158,25
한우촌식육식당,"육류,고기",1.0,0.02936630602782071,053-856-3335,경북 경산시 하양읍 조산천서길 71,449,42
본봉베이커리,"제과,베이커리",1.0,0.015455950540958269,,경북 경산시 하양읍 하양로 170 1층,183,51
홍대불고기 대구대점,한식,0.8,0.00927357032457496,010-5577-1738,경북 경산시 진량읍 대구대로 212,466,68
비호생활관 학생식당 다올,한식,0.86,0.0030911901081916537,,경북 경산시 진량읍 대구대로 201 대구대학교경산캠퍼스 2층,196,68
등촌샤브칼국수 하양점,샤브샤브,0.64,0.04945904173106646,053-710-0405,경북 경산시 하양읍 하양역길 10 2층,108,30
메밀마을,국수,1.0,0.02936630602782071,053-853-5870,경북 경산시 하양읍 조산천동길 52,141,8
장호덕손만두 경산하양점,분식,0.8,0.15919629057187018,053-856-1123,경북 경산시 하양읍 하양로 35 하양우방타운3차아파트 상가동 1층 122호,338,25
온천골가마솥한우국밥 진량점,국밥,0.64,0.021638330757341576,053-857-5575,경북 경산시 진량읍 대학로 1028,286,7
모짜르트베이커리,"제과,베이커리",0.8,0.08346213292117466,053-853-9893,경북 경산시 하양읍 하양로 94 1층,145,51
리안,카페,1.0,0.00463678516228748,,경북 경산시 하양읍 서사도리7로 28 1층,120,60
충격정식,한식,0.96,0.00927357032457496,053-856-0016,경북 경산시 하양읍 하양로27길 8,384,68
커피맘,카페/디저트,0.9400000000000001,0.0015455950540958269,054-853-9003,경북 경산시 하양읍 대경로159길 23-1,396,61
맘스터치 신대구경일대점,패스트푸드,0.7,0.0015455950540958269,053-816-4242,경북 경산시 하양읍 가마실길 46 2층,136,65
락참치연어 경산하양점,참치회,1.0,0.010819165378670788,0507-1463-4404,경북 경산시 하양읍 서사도리7로 19 골든스테이트 1층,115,56
스시201,"초밥,롤",0.7,0.1205564142194745,053-710-2010,경북 경산시 하양읍 하양로 46,229,57
읍천리382 경북대가대점,커피전문점,1.0,0.00927357032457496,053-856-0382,경북 경산시 하양읍 하양로 34 1층,313,63
청춘라면,분식,1.0,0.017001545595054096,,경북 경산시 진량읍 대구대로 252 1층,375,25
오복반점,중국요리,0.96,0.010819165378670788,053-856-5055,경북 경산시 하양읍 문화로 10 1층,281,53
왕이모네식당,한식,0.9800000000000001,0.04636785162287481,053-852-6250,경북 경산시 진량읍 대구대로60길 5-10,295,68
다미,일본식주점,1.0,0.02936630602782071,053-853-3200,경북 경산시 하양읍 대경로147길 8 1층,68,47
앙쥬베이커리,카페/디저트,1.0,0.0030911901081916537,053-852-0403,경북 경산시 하양읍 하양로 184,261,61
심쿵한돈김치찜,"육류,고기",0.8,0.0030911901081916537,,경북 경산시 하양읍 하양로 35 105동 106호,250,42
산호아나고,장어,1.0,0.00463678516228748,053-851-8811,경북 경산시 진량읍 공단1로 13,202,50
청년찌개 하양점,"찌개,전골",1.0,0.11901081916537867,070-8691-1557,경북 경산시 진량읍 상림2길 11 1층,370,55
포항식당,"굴,전복",0.6,0.0030911901081916537,053-812-7599,경북 경산시 하양읍 금송로 19-1 1층,427,9
더테이블,양식,1.0,0.05409582689335394,053-263-6679,경북 경산시 하양읍 대학로305길 34-2,90,40
드라이브커피,커피전문점,1.0,0.012364760432766615,,경북 경산시 하양읍 화성로 317,107,63
애월연어 진량점,일식,1.0,0.0061823802163833074,053-856-8037,경북 경산시 진량읍 공단6로24길 23-8 1층,262,48
여부초밥 하양직영점,"초밥,롤",0.86,0.0015455950540958269,053-854-0998,경북 경산시 하양읍 대경로147길 8,270,57
막창도둑 하양점,한식,0.2,0.0077279752704791345,053-856-7767,경북 경산시 하양읍 조산천동길 22 1층,131,68
하양용두쭈꾸미,"해물,생선",1.0,0.19938176197836166,070-8866-4313,경북 경산시 하양읍 대학로298길 22 1층,441,71
봉자막창 하양점,"곱창,막창",1.0,0.04173106646058733,,경북 경산시 하양읍 문화로 10,188,5
교동면옥 하양점,한식,0.9199999999999999,0.09119010819165378,053-854-7222,경북 경산시 하양읍 하양로 202-9 1층,34,68
삼송꾼만두 하양점,분식,1.0,0.012364760432766615,053-854-8806,경북 경산시 하양읍 대학로298길 22,204,25
슬로우캘리 하양점,양식,1.0,0.02009273570324575,,경북 경산시 하양읍 하양로 64,238,40
낭만비어,"호프,요리주점",1.0,0.0015455950540958269,,경북 경산시 하양읍 대경로 661-8,60,74
미현양분식,분식,1.0,0.0015455950540958269,053-851-3461,경북 경산시 하양읍 하양로 119-11,158,25
진량소머리곰탕,곰탕,0.74,0.0030911901081916537,053-853-0016,경북 경산시 진량읍 일연로 730,358,4
메가MGC커피 경산하양점,커피전문점,1.0,0.0061823802163833074,053-851-6200,경북 경산시 하양읍 하양로 66 1층 4호,139,63
뚝배기일번지,한식,0.8,0.0015455950540958269,0507-1864-5659,경북 경산시 하양읍 하양로 173,112,68
일품장수미역 진량점,한식,0.6,0.0077279752704791345,053-851-3302,경북 경산시 진량읍 공단1로 42,329,68
삼청당 경산하양점,분식,1.0,0.017001545595054096,053-267-4647,경북 경산시 하양읍 하양로 19 1층,206,25
빨봉분식 대구대학교점,분식,0.8,0.0030911901081916537,,경북 경산시 진량읍 대구대로 216-1 1층,198,25
미소국수 경산하양점,아시아/퓨전,0.9,0.03863987635239567,,경북 경산시 하양읍 대경로147길 14-5 1층,154,36
대패생각 하양점,한식,1.0,0.42967542503863987,053-856-0045,경북 경산시 하양읍 하양로37길 8,84,68
프레드피자 하양진량점,피자,1.0,0.0077279752704791345,053-216-0406,경북 경산시 하양읍 아낙고개길6길 18,432,67
태화반점 타이짬뽕 본점,중국요리,0.74,0.0401854714064915,053-851-0808,경북 경산시 진량읍 다문로 55 1층,407,53
미도방분식,분식,1.0,0.0077279752704791345,053-854-0004,경북 경산시 하양읍 하양로 119-1,151,25
육대장 하양점,국밥,0.8,0.03245749613601236,053-854-7888,경북 경산시 하양읍 대경로 849,310,7
대호돼지국밥,한식,0.9400000000000001,0.04327666151468315,053-854-0058,경북 경산시 와촌면 하양로 370,86,68
서양국수,이탈리안,1.0,0.00927357032457496,,경북 경산시 하양읍 하양역길 18,212,44
정식당,한식,1.0,0.0015455950540958269,,경북 경산시 하양읍 대경로105길 18,343,68
숯,한식,0.6,0.0030911901081916537,,경북 경산시 하양읍 하양로 193,227,68
어림지 해장국,해장국,0.8,0.00927357032457496,053-857-8280,경북 경산시 하양읍 대경로 882 1층,265,72
가야등뼈,감자탕,0.6599999999999999,0.00463678516228748,053-854-0663,경북 경산시 진량읍 다문로 106,14,2
밥먹고갑시다,한식,1.0,0.0015455950540958269,,경북 경산시 하양읍 금송로 58 A동,164,68
혼샤브,샤브샤브,0.78,0.0401854714064915,053-854-7009,경북 경산시 하양읍 대경로 669-6,465,30
하양생고기,"육류,고기",1.0,0.02009273570324575,,경북 경산시 하양읍 서사도리5로 15,439,42
낫낫,아시아/퓨전,0.9400000000000001,0.1143740340030912,053-851-7906,경북 경산시 하양읍 대학로 1512-2 1층,59,36
대영숯불돼지갈비,갈비,1.0,0.00927357032457496,053-857-9283,경북 경산시 진량읍 해든길1길 6-6,81,1
참뼈감자탕 진량점,한식,0.2,0.0061823802163833074,053-852-3386,경북 경산시 진량읍 대학로 1390,367,68
호식이두마리치킨 하양동서점,치킨,1.0,0.0030911901081916537,,"경북 경산시 하양읍 하양로 202-10 하양2차청구타운아파트 상가 113동 1층 103,104호",461,59
몬스터커피 경산 대구대점,카페,1.0,0.0030911901081916537,070-8836-1356,경북 경산시 진량읍 대구대로 240,146,60
옹심이메밀칼국수 하양점,칼국수,1.0,0.027820710973724884,053-853-5112,경북 경산시 하양읍 화성로 255-1,288,62
손시다이닝 하양점,일식집,0.7,0.04482225656877898,053-857-3964,"경북 경산시 하양읍 하양역길 8 1, 2층",220,49
미즈컨테이너 본점,양식,0.82,0.04173106646058733,,경북 경산시 진량읍 대구대로 201 대구대학교 제1학생회관 1층,156,40
아이벗치킨 진량점,치킨,0.2,0.0015455950540958269,053-857-1263,경북 경산시 진량읍 봉황길 10 1층 1호,255,59
고씨네카레 하양점,일식집,0.9,0.01854714064914992,053-853-8757,경북 경산시 하양읍 문화로 18 1층,27,49
더리터 경산진량점,커피전문점,1.0,0.0061823802163833074,,경북 경산시 진량읍 봉황길 41 진량봉암빌딩 1층 108호,88,63
더벤티 경산하양점,커피전문점,1.0,0.0030911901081916537,053-857-6678,경북 경산시 하양읍 서사도리7로 21 SG타워 107호,89,63
청춘,"호프,요리주점",0.2,0.00927357032457496,,경북 경산시 하양읍 하양로 47 1층 103호,373,74
경산가봄,"돈까스,우동",1.0,0.0015455950540958269,010-6533-3180,경북 경산시 하양읍 금송로 39,23,16
옛부안숯불갈비,한식,0.74,0.03245749613601236,053-853-7281,경북 경산시 하양읍 하양로38길 28,276,68
해금강복어,복어,1.0,0.0030911901081916537,053-856-8483,경북 경산시 하양읍 조산천동길 12,452,24
써브웨이 경산대구대점,샌드위치,0.72,0.0030911901081916537,053-856-7073,경북 경산시 진량읍 대구대로 201 과학생명융합대학 3호관 1층 1114호,251,29
태성추어탕,한식,1.0,0.012364760432766615,053-851-7552,경북 경산시 하양읍 하양로 221,406,68
차돌풍 경산하양점,"육류,고기",0.7,0.03863987635239567,053-852-9293,경북 경산시 하양읍 하양역길 20 1층,365,42
우주주택,커피전문점,0.9199999999999999,0.5826893353941267,070-7543-0415,경북 경산시 하양읍 가마실길 26 우주주택,302,63
경미순대국밥,순대,1.0,0.013910355486862442,053-852-8288,경북 경산시 진량읍 공단6로 167,22,32
홍콩맨션,술집,1.0,0.00927357032457496,053-854-0618,경북 경산시 진량읍 대구대로60길 5-13 1층,468,33
본도시락 경산하양점,도시락,0.9400000000000001,0.010819165378670788,053-853-4282,경북 경산시 하양읍 대학로 1514 1층,182,15
봄봄 진량봉회점,커피전문점,0.8400000000000001,0.0015455950540958269,053-217-0788,경북 경산시 진량읍 공단로 579,186,63
정암골 가마솥한우국밥 본점,국밥,0.9,0.00463678516228748,053-856-5100,경북 경산시 하양읍 대경로 96,344,7
부영,오리,1.0,0.04791344667697063,053-852-5253,경북 경산시 하양읍 대곡로 390-7,191,41
빨강창꼬,술집,1.0,0.0015455950540958269,,경북 경산시 진량읍 대구대로 287,197,33
카페빈트리,카페,1.0,0.0030911901081916537,053-852-3310,경북 경산시 하양읍 대경로159길 30 1층,391,60
청춘닭강정 하양진량점,치킨,1.0,0.0015455950540958269,053-852-7814,경북 경산시 하양읍 대경로147길 3,374,59
박시방찌게돌솥밥,"찌개,전골",0.6,0.0030911901081916537,053-856-2233,경북 경산시 진량읍 일연로 705 1층,161,55
풍성맷돌두부,두부전문점,0.6,0.010819165378670788,053-856-0089,경북 경산시 진량읍 공단2로3길 97,430,18
달맞이식당,한식,1.0,0.0030911901081916537,,경북 경산시 진량읍 다문로 97,74,68
버섯명가자연밥상,한식,1.0,0.012364760432766615,053-852-2227,경북 경산시 하양읍 화성로 5-18,176,68
커피당,카페,0.8,0.015455950540958269,,경북 경산시 하양읍 서사도리6로 25 1층,394,60
호떡당 경산하양점,간식,0.4,0.02472952086553323,,경북 경산시 하양읍 서사도리9로 25 드림스퀘어1 109호,459,0
진짜돼지갈비,갈비,1.0,0.023183925811437404,053-851-1322,경북 경산시 하양읍 대경로 703 1층,360,1
마실커피 하양점,커피전문점,1.0,0.0015455950540958269,,경북 경산시 하양읍 하양로 35 하양3차우방타운 1층,126,63
언니야닭도리탕&찜닭,닭요리,1.0,0.0015455950540958269,010-2473-9216,"경북 경산시 진량읍 봉황길 12 진량시장 6, 7호",266,14
참뼈감자탕 진량점,한식,0.2,0.0061823802163833074,053-852-3386,경북 경산시 진량읍 대학로 1390,367,68
마츠 하양점,일식,0.86,0.0633693972179289,,경북 경산시 하양읍 대경로147길 13-1 1층,128,48
진짜순대,순대,1.0,0.010819165378670788,053-854-0157,경북 경산시 진량읍 공단로 435,361,32
디나폴리,카페/디저트,0.6599999999999999,0.00463678516228748,053-851-7223,경북 경산시 진량읍 대구대로 290-1,109,61
버거리 경산하양점,햄버거,1.0,0.00927357032457496,070-8722-3999,경북 경산시 하양읍 하양역길 18 1층,174,73
빨봉분식 대구대학교점,분식,0.8,0.0030911901081916537,,경북 경산시 진량읍 대구대로 216-1 1층,198,25
마카닭참숯불 본점,치킨,1.0,0.01854714064914992,010-4758-3318,경북 경산시 하양읍 대학로295길 8 1층,129,59
이디야커피 하양무학점,커피전문점,1.0,0.0061823802163833074,053-856-3374,경북 경산시 하양읍 서사도리7로 17 1층,316,63
병천청년순대국 하양점,순대,0.8,0.00463678516228748,,경북 경산시 하양읍 대경로 862 b동 1층,178,32
도야지식당,"찌개,전골",0.9400000000000001,0.0030911901081916537,053-853-0910,경북 경산시 하양읍 대경로105길 10,97,55
구포국수 하양본점,국수,0.72,0.023183925811437404,053-857-0606,경북 경산시 하양읍 하양로33길 3 1층,38,8
몬스터커피 경산 대구대점,카페/디저트,1.0,0.0030911901081916537,070-8836-1356,경북 경산시 진량읍 대구대로 240,146,61
빽다방 경산진량점,커피전문점,0.8,0.0061823802163833074,053-8548-7674,경북 경산시 진량읍 공단1로 2 1층,199,63
통큰감자탕,감자탕,0.5599999999999999,0.03554868624420402,053-857-1991,경북 경산시 진량읍 대구대로 252-5,413,2
구룡포회,회,0.8,0.00463678516228748,053-854-4267,경북 경산시 진량읍 다문로 108,36,75
야간열차,실내포장마차,1.0,0.00927357032457496,053-852-1238,경북 경산시 하양읍 하양역길 12 1층,263,34
백스비어 하양점,"호프,요리주점",1.0,0.0061823802163833074,053-857-2224,경북 경산시 하양읍 하양로 46 1층,172,74
강원도 감자탕등뼈해장국,감자탕,0.86,0.00463678516228748,053-856-3080,경북 경산시 진량읍 다문로 83 1층,18,2
디나폴리,카페/디저트,0.6599999999999999,0.00463678516228748,053-851-7223,경북 경산시 진량읍 대구대로 290-1,109,61
이노랩로스터즈 너티브라운,카페/디저트,1.0,0.0401854714064915,,경북 경산시 하양읍 하양로 199-1 1층,314,61
퀴다,양식,0.9400000000000001,0.017001545595054096,053-214-4505,경북 경산시 하양읍 대경로 653 휴가오피스텔 103호,400,40
봉자막창 진량점,"곱창,막창",0.6,0.0015455950540958269,053-853-2299,경북 경산시 진량읍 다문로 49,187,5
백녹담,한식,0.8,0.00463678516228748,,경북 경산시 하양읍 지식산업로 110,171,68
꿉양치킨,치킨,1.0,0.0015455950540958269,,경북 경산시 진량읍 공단로 465,53,59
소삼장,갈비,0.9,0.0015455950540958269,053-853-0004,경북 경산시 진량읍 공단로 476,218,1
소풍가는날김밥전문점,분식,1.0,0.00927357032457496,053-853-4408,경북 경산시 하양읍 대학로298길 19-7 1층,219,25
경주국밥 하양점,국밥,0.42000000000000004,0.010819165378670788,053-851-9309,경북 경산시 하양읍 하양로 26 1층,24,7
치킨플러스 대구대점,치킨,1.0,0.0015455950540958269,053-857-7272,경북 경산시 진량읍 대구대로 216 1층,386,59
우당탕반점,중식,0.6,0.010819165378670788,053-854-3884,경북 경산시 진량읍 대구대로 252-1,297,54
청명식육식당,한식,0.74,0.010819165378670788,053-267-1300,"경북 경산시 하양읍 조산천동길 10 1,2층",371,68
소풍가는날김밥전문점,분식,1.0,0.00927357032457496,053-853-4408,경북 경산시 하양읍 대학로298길 19-7 1층,219,25
스텀프하우스,카페,0.6799999999999999,0.01854714064914992,,경북 경산시 하양읍 대경로 669,236,60
신흥춘해물짬뽕,중국요리,1.0,0.0077279752704791345,053-851-0019,경북 경산시 진량읍 북리길 3,247,53
팔공티 대구대,카페,1.0,0.0077279752704791345,,경북 경산시 진량읍 대구대로 238 1층,423,60
막창도둑 하양점,한식,0.2,0.0077279752704791345,053-856-7767,경북 경산시 하양읍 조산천동길 22 1층,131,68
남일식당,한식,0.6599999999999999,0.0571870170015456,053-853-7494,경북 경산시 하양읍 하양로27길 12,58,68
카츠데이,"돈까스,우동",1.0,0.0061823802163833074,010-2135-9032,경북 경산시 진량읍 대구대로 244 1층,388,16
하양원조추어탕,한식,1.0,0.0030911901081916537,,경북 경산시 와촌면 하양로 450,442,68
투썸플레이스 하양광장메디컬점,커피전문점,1.0,0.02936630602782071,053-856-1555,경북 경산시 하양읍 서사도리9로 27,416,63
한올면옥 진량점,냉면,0.5,0.015455950540958269,053-854-6500,경북 경산시 진량읍 봉회길 82,447,11
까페하양,카페,0.9,0.0015455950540958269,053-851-4967,경북 경산시 하양읍 금송로 15,50,60
진량돼지찌개,한식,0.9199999999999999,0.08809891808346214,053-857-6071,경북 경산시 진량읍 공단6로 177 1층,357,68
낙곱새부대장부대찌개 하양점,"찌개,전골",0.4,0.00463678516228748,,경북 경산시 하양읍 하양로 66 108호,56,55
몬스터커피 경산하양점,커피전문점,1.0,0.017001545595054096,0507-0289-4111,경북 경산시 하양읍 서사도리4로 5 메이플라워 104호,147,63
하삼동커피 하양점,커피전문점,1.0,0.0077279752704791345,053-854-1123,경북 경산시 하양읍 서사도리4로 2 하양메디컬타워 1층 101호,436,63
육식인생,삼겹살,0.6,0.0015455950540958269,,경북 경산시 진량읍 공단로 466,311,27
홍콩맨션,술집,1.0,0.00927357032457496,053-854-0618,경북 경산시 진량읍 대구대로60길 5-13 1층,468,33
몬스터커피 경산 대구대점,카페,1.0,0.0030911901081916537,070-8836-1356,경북 경산시 진량읍 대구대로 240,146,60
호식이두마리치킨 하양동서점,치킨,1.0,0.0030911901081916537,,"경북 경산시 하양읍 하양로 202-10 하양2차청구타운아파트 상가 113동 1층 103,104호",461,59
선화소곰탕,곰탕,0.72,0.017001545595054096,053-852-3295,경북 경산시 진량읍 일연로 731,214,4
대가선지해장국,한식,0.86,0.00463678516228748,053-853-9200,경북 경산시 하양읍 하양로 192,75,68
본죽&비빔밥cafe 대구대학교점,한식,0.9,0.0015455950540958269,053-856-3380,경북 경산시 진량읍 대구대로 244 1층,185,68
심분열보쌈식족발 하양점,"족발,보쌈",1.0,0.012364760432766615,053-851-9512,경북 경산시 하양읍 하양역길 13,249,52
무한폭식,한식,0.9,0.0015455950540958269,053-213-3354,경북 경산시 진량읍 대구대로 318,150,68
토우,"육류,고기",1.0,0.0015455950540958269,053-852-3043,경북 경산시 진량읍 영청길 27,412,42
구룡포회,회,0.8,0.00463678516228748,053-854-4267,경북 경산시 진량읍 다문로 108,36,75
이노랩로스터즈 너티브라운,카페,1.0,0.0401854714064915,,경북 경산시 하양읍 하양로 199-1 1층,314,60
만리장성,중국요리,1.0,0.0015455950540958269,053-851-5521,경북 경산시 하양읍 대경로105길 16,132,53
시오다과,"제과,베이커리",1.0,0.012364760432766615,053-851-9082,경북 경산시 하양읍 서사도리5로 15 센텀1번가,240,51
대가온족발,"족발,보쌈",0.86,0.02936630602782071,053-851-0016,경북 경산시 하양읍 서사도리7로 17 101호,76,52
삼주막창,"곱창,막창",1.0,0.00463678516228748,053-856-9652,경북 경산시 진량읍 봉황길 28-4,205,5
서부장연평도해물찜,한식,1.0,0.00463678516228748,053-853-6048,경북 경산시 하양읍 하양로25길 5-1,209,68
국대떡볶이 대구대학교점,분식,0.6799999999999999,0.0061823802163833074,053-857-7376,경북 경산시 진량읍 대구대로 201 1층,39,25
카페봄봄 경산IC점,커피전문점,1.0,0.0015455950540958269,053-241-7701,경북 경산시 진량읍 대학로 950,390,63
유투커피,카페,0.4,0.012364760432766615,,경북 경산시 하양읍 하양역길 30 2층,309,60
국대떡볶이 대구대학교점,떡볶이,0.6799999999999999,0.0061823802163833074,053-857-7376,경북 경산시 진량읍 대구대로 201 1층,39,21
개미분식,분식,1.0,0.010819165378670788,053-851-4835,경북 경산시 하양읍 조산천동길 46,20,25
스페이스임원,커피전문점,0.8,1.0,053-857-6228,경북 경산시 하양읍 금호강변로 700 A동,237,63
비사이드,술집,1.0,0.0015455950540958269,,경북 경산시 진량읍 대구대로 240,195,33
리코리아 브리또,한식,1.0,0.0030911901081916537,053-851-7009,경북 경산시 진량읍 대구대로 260,121,68
조방낙지,"해물,생선",0.96,0.0030911901081916537,053-853-2651,경북 경산시 하양읍 대경로 745,347,71
대구통닭 하양점,치킨,0.6,0.00927357032457496,053-851-9979,경북 경산시 하양읍 대경로 669-6 1층,80,59
기성,"육류,고기",0.6,0.0077279752704791345,,경북 경산시 진량읍 공단1로 47 1층,44,42
진짜순대,순대,1.0,0.010819165378670788,053-854-0157,경북 경산시 진량읍 공단로 435,361,32
만복이쭈꾸미낙지볶음 진량점,"해물,생선",0.8,0.10200927357032458,053-852-1209,경북 경산시 진량읍 대학로 1416,133,71
우유니커피,카페/디저트,1.0,0.0061823802163833074,,경북 경산시 하양읍 대경로147길 22,301,61
참뼈감자탕 진량점,감자탕,0.2,0.0061823802163833074,053-852-3386,경북 경산시 진량읍 대학로 1390,367,2
가야성,중국요리,0.4,0.0077279752704791345,053-851-7111,경북 경산시 진량읍 일연로 461,15,53
취주선,양꼬치,1.0,0.0061823802163833074,,경북 경산시 하양읍 아낙고개길 9,385,39
러빗커피,카페,1.0,0.00463678516228748,,경북 경산시 진량읍 대구대로60길 5-10 1층,116,60
홍대불고기 대구대점,"불고기,두루치기",0.8400000000000001,0.00927357032457496,010-5577-1738,경북 경산시 진량읍 대구대로 212,466,26
네팔사랑,인도음식,0.6,0.021638330757341576,053-853-8050,경북 경산시 하양읍 하양로 50 3층,62,45
커피리안,카페,1.0,0.0015455950540958269,,"경북 경산시 진량읍 봉회1길 26 B동 1,2층",395,60
조방낙지,한식,0.96,0.0030911901081916537,053-853-2651,경북 경산시 하양읍 대경로 745,347,68
윤대감부대찌개 진량점,"찌개,전골",0.6,0.02009273570324575,053-851-8983,경북 경산시 진량읍 해든길1길 17,312,55
제주곤이칼국수 진량하양점,한식,1.0,0.027820710973724884,053-854-0488,경북 경산시 진량읍 대학로 1392,346,68
고급양식 하양진량점,양식,1.0,0.04173106646058733,053-851-5580,경북 경산시 하양읍 하양로 61 B동 1층,25,40
훔친두마리치킨,치킨,1.0,0.0015455950540958269,,경북 경산시 하양읍 가마실길 48 1층,474,59
부림해물손수제비 진량점,수제비,1.0,0.00927357032457496,053-854-0854,경북 경산시 진량읍 다문로 110 1층,190,31
병천청년순대국 하양점,한식,0.8,0.00463678516228748,,경북 경산시 하양읍 대경로 862 b동 1층,178,68
아지매,한식,0.4,0.0015455950540958269,053-851-8448,경북 경산시 하양읍 대학로 1518-1,256,68
낙곱새부대장부대찌개 하양점,"찌개,전골",0.4,0.00463678516228748,,경북 경산시 하양읍 하양로 66 108호,56,55
이화참순대,한식,0.86,0.012364760432766615,053-856-3397,경북 경산시 하양읍 대경로147길 8-6,321,68
일당백부대찌개,"찌개,전골",0.96,0.12364760432766615,053-851-1908,경북 경산시 하양읍 하양로 25,324,55
하루엔소쿠 경산하양점,"돈까스,우동",0.8800000000000001,0.010819165378670788,053-851-7766,경북 경산시 하양읍 하양로 67 2층,435,16
진배기원조할매국밥 진량점,국밥,0.6,0.00463678516228748,053-856-8868,경북 경산시 진량읍 공단로 480,359,7
매머드익스프레스 경산하양점,커피전문점,1.0,0.012364760432766615,,경북 경산시 하양읍 서사도리9로 17,138,63
윤대감부대찌개 진량점,"찌개,전골",0.6,0.02009273570324575,053-851-8983,경북 경산시 진량읍 해든길1길 17,312,55
연담,한식,1.0,0.00927357032457496,053-853-0033,경북 경산시 하양읍 하양로 189,274,68
평사튀김떡볶이,분식,0.4,0.00463678516228748,053-853-2884,경북 경산시 진량읍 대구대로 287,425,25
연담,한식,1.0,0.00927357032457496,053-853-0033,경북 경산시 하양읍 하양로 189,274,68
라라식당,"육류,고기",0.8,0.07727975270479134,053-291-1906,경북 경산시 하양읍 대경로 669-2,113,42
국수마을,국수,1.0,0.0015455950540958269,053-851-9856,경북 경산시 진량읍 일연로 650,40,8
우유니커피,카페/디저트,1.0,0.0061823802163833074,,경북 경산시 하양읍 대경로147길 22,301,61
오늘도콩닭콩닭,치킨,1.0,0.0061823802163833074,,경북 경산시 진량읍 공단2로9길 22,279,59
북경,중국요리,0.6,0.0030911901081916537,053-854-2828,경북 경산시 진량읍 일연로 729 1층,192,53
통큰감자탕,한식,0.64,0.03554868624420402,053-857-1991,경북 경산시 진량읍 대구대로 252-5,413,68
BHC치킨 경산진량점,치킨,1.0,0.0061823802163833074,053-852-9852,경북 경산시 진량읍 선항5길 26 1층,7,59
마사커피 대구대점,카페/디저트,0.3,0.0015455950540958269,,경북 경산시 진량읍 대구대로 201 1층,124,61
맘스터치 신대구경일대점,패스트푸드,0.7,0.0015455950540958269,053-816-4242,경북 경산시 하양읍 가마실길 46 2층,136,65
투썸플레이스 경산하양점,커피전문점,0.6799999999999999,0.00927357032457496,053-627-2323,경북 경산시 하양읍 하양로 58,415,63
원기옥,"호프,요리주점",1.0,0.08346213292117466,,경북 경산시 하양읍 대학로305길 42 새둥지룸 1층,303,74
토산지한식뷔페,한식뷔페,0.9199999999999999,0.015455950540958269,053-852-5076,경북 경산시 진량읍 해든길1길 5-1,410,69
시인과촌장,"호프,요리주점",0.9199999999999999,0.0030911901081916537,054-851-6316,경북 경산시 하양읍 하양로 76-1,241,74
가마솥서울식당,한식,1.0,0.0015455950540958269,053-856-6889,경북 경산시 하양읍 조산천서길 27,10,68
촛대바위,한식,1.0,0.0015455950540958269,,경북 경산시 진량읍 대구대로 93,381,68
스타벅스 경산하양DT점,커피전문점,0.96,0.07418856259659969,1522-3232,경북 경산시 진량읍 대학로 1417,233,63
일막화로,"육류,고기",1.0,0.09119010819165378,053-852-8395,경북 경산시 하양읍 하양로 176,325,42
